Date,Open,High,Low,Close,Volume
2022-01-03,149.64,149.85,148.88,149.72,72448234
2022-01-04,146.55,146.72,146.15,146.4,77317695
2022-01-05,147.47,147.73,146.83,146.96,60233567
2022-01-06,144.87,146.28,144.72,144.76,72873534
2022-01-07,145.33,146.33,145.39,145.96,92468087
2022-01-10,145.64,145.77,144.57,145.48,52735555
2022-01-11,146.1,149.84,146.05,146.76,56683799
2022-01-12,149.03,150.19,147.73,148.74,54955943
2022-01-13,148.46,148.72,147.61,148.59,87768275
2022-01-14,149.7,149.98,148.66,149.41,60652578
2022-01-17,148.63,148.7,145.63,148.4,58614149
2022-01-18,146.34,147.66,145.41,146.0,91716346
2022-01-19,149.13,150.87,148.53,149.17,94057915
2022-01-20,146.0,146.28,145.62,145.98,89472639
2022-01-21,148.33,148.03,146.58,147.3,63764048
2022-01-24,145.92,146.17,145.42,145.51,89986052
2022-01-25,143.84,146.09,142.72,143.97,63645271
2022-01-26,145.43,144.93,144.61,144.91,78359387
2022-01-27,147.71,147.64,146.12,147.31,93067706
2022-01-28,148.75,148.24,145.88,148.2,67822473
2022-01-31,151.84,152.41,150.42,151.79,71979388
2022-02-01,155.45,155.93,152.12,155.07,89219284
2022-02-02,156.15,157.2,156.41,156.41,109497525
2022-02-03,153.79,155.66,153.43,153.98,67714970
2022-02-04,153.68,154.53,152.76,154.25,92703966
2022-02-07,155.37,154.66,152.62,154.31,48934720
2022-02-08,154.22,156.22,152.0,154.07,94812393
2022-02-09,156.2,156.37,155.42,155.48,64567006
2022-02-10,152.71,152.85,150.15,152.62,62779503
2022-02-11,152.68,153.89,153.08,153.4,91479200
2022-02-14,156.76,158.18,156.2,156.78,85339741
2022-02-15,157.65,159.41,157.87,157.98,88996492
2022-02-16,161.34,161.42,158.27,161.05,79874060
2022-02-17,160.43,162.28,160.23,160.38,85387553
2022-02-18,163.05,165.56,162.91,163.31,79594695
2022-02-21,162.29,162.65,160.58,161.87,85364368
2022-02-22,160.72,162.02,161.38,161.44,60094342
2022-02-23,162.99,163.5,162.23,162.75,95301298
2022-02-24,161.25,161.07,158.14,161.06,37753940
2022-02-25,162.64,162.92,160.31,162.79,74828536
2022-02-28,168.09,168.78,167.65,168.31,61186239
2022-03-01,168.38,168.79,165.68,168.52,115049353
2022-03-02,169.03,169.5,167.75,168.15,138298842
2022-03-03,165.26,166.73,165.38,166.0,88866800
2022-03-04,169.14,171.44,168.68,169.27,99804453
2022-03-07,169.5,170.55,168.59,170.5,117530962
2022-03-08,172.15,173.69,170.83,171.99,75938317
2022-03-09,173.64,174.0,171.74,173.34,59444363
2022-03-10,170.71,173.53,169.93,170.38,83997566
